SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,,Condo/Co-op,12 Ransom Rd Apt 12,Boston,MA,02135,372000,1,1.0,,598,,1930,,622,,,,,http://www.redfin.com/MA/Boston/12-Ransom-Rd-02135/unit-12/home/9003869,,,N,Y,42.3434399,-71.1444521
PAST SALE,June-15-2018,Single Family Residential,156 Lancaster Ter,Brookline,MA,02446,1310000,3,2.5,Brookline,2000,9266,1961,51,655,,Sold,,,http://www.redfin.com/MA/Brookline/156-Lancaster-Ter-02446/home/11454734,MLS PIN,72318083,N,Y,42.3426974,-71.1367052
PAST SALE,,Condo/Co-op,1871 Commonwealth Ave #1871,Boston,MA,02135,610000,2,2.0,,1310,,1930,,466,,,,,http://www.redfin.com/MA/Boston/1871-Commonwealth-Ave-02135/unit-1871/home/9006925,,,N,Y,42.3383903,-71.1531766
PAST SALE,May-14-2018,Condo/Co-op,232 Summit Ave Unit A5,Brookline,MA,02446,2000000,3,2.5,Coolidge Corner,2369,,1900,83,844,908,Sold,,,http://www.redfin.com/MA/Brookline/232-Summit-Ave-02446/unit-A-5/home/11453259,MLS PIN,72290773,N,Y,42.34286,-71.136157
PAST SALE,,Condo/Co-op,1677 Commonwealth Ave Apt 3,Boston,MA,02135,369000,1,1.0,,526,,1930,,702,,,,,http://www.redfin.com/MA/Boston/1677-Commonwealth-Ave-02135/unit-3/home/9003325,,,N,Y,42.3420584,-71.1458533
PAST SALE,June-1-2018,Condo/Co-op,99 Chestnut Hill Ave #304,Boston,MA,02135,655000,2,2.0,Brighton,884,,1924,65,741,364,Sold,,,http://www.redfin.com/MA/Boston/99-Chestnut-Hill-Ave-02135/unit-304/home/12431142,MLS PIN,72301578,N,Y,42.3440915,-71.1539636
PAST SALE,July-22-2018,Condo/Co-op,1650 Commonwealth #403,Boston,MA,02135,930000,2,2.0,Brighton,1070,,2017,14,869,667,Sold,,,http://www.redfin.com/MA/Boston/1650-Commonwealth-Ave-02135/unit-403/home/146090931,MLS PIN,72351796,N,Y,42.3417583,-71.1436661
PAST SALE,July-24-2018,Single Family Residential,41 Kilsyth Rd,Brookline,MA,02445,2635000,6,4.5,Brookline,4541,6835,1896,12,580,,Sold,,,http://www.redfin.com/MA/Brookline/41-Kilsyth-Rd-02445/home/11455858,MLS PIN,72322806,N,Y,42.3390152,-71.1443178
PAST SALE,July-23-2018,Single Family Residential,20 Jenness Rd,Brookline,MA,02446,975000,3,2.0,Brookline,2154,3067,1963,13,453,,Sold,,,http://www.redfin.com/MA/Brookline/20-Jenness-Rd-02446/home/11505998,MLS PIN,72326248,N,Y,42.3443282,-71.137123
PAST SALE,July-26-2018,Single Family Residential,492 Clinton Rd,Brookline,MA,02467,1930000,5,3.0,Brookline,3160,15523,1958,10,611,,Sold,,,http://www.redfin.com/MA/Chestnut-Hill/492-Clinton-Rd-02467/home/11484102,MLS PIN,72327325,N,Y,42.3319046,-71.1531835
