SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,84 Carruth St #1,Boston,MA,02124,559000,3,2.0,Dorchester's Ashmont,1487,1487,1910,109,376,175,Active,,,http://www.redfin.com/MA/Boston/84-Carruth-St-02124/unit-1/home/85680685,MLS PIN,72311210,N,Y,42.2819376,-71.0597622
MLS Listing,,Condo/Co-op,23 Silvia Ct #23,Boston,MA,02136,375000,3,1.5,Boston,1113,,1960,109,337,,Active,,,http://www.redfin.com/MA/Boston/23-Silvia-Ct-02136/unit-23/home/145354343,MLS PIN,72311184,N,Y,42.2557581,-71.1423128
MLS Listing,,Condo/Co-op,1 Avery St Unit 19B,Boston,MA,02111,3095000,3,3.5,Midtown,2667,2667,2000,109,1160,3685,Active,,,http://www.redfin.com/MA/Boston/1-Avery-St-02111/unit-19B/home/9312517,MLS PIN,72311083,N,Y,42.3534171,-71.06251
MLS Listing,,Condo/Co-op,342-346 Dorchester St #1,Boston,MA,02127,795000,3,2.0,Boston,1455,,1899,109,546,175,Active,,,http://www.redfin.com/MA/Boston/342-346-Dorchester-St-02127/unit-1/home/114037340,MLS PIN,72311020,N,Y,42.3305819,-71.054441
MLS Listing,,Condo/Co-op,39 A St #20,Boston,MA,02127,1599000,2,2.0,South Boston,1584,,2018,110,1009,491,Active,,,http://www.redfin.com/MA/Boston/39-A-St-02127/unit-20/home/145337892,MLS PIN,72310340,N,Y,42.3413218,-71.0559953
MLS Listing,,Single Family Residential,26 Lawrence Ave,Boston,MA,02121,759900,7,4.5,Grove Hall section of Roxbury,6344,8677,1920,110,120,,Active,,,http://www.redfin.com/MA/Boston/26-Lawrence-Ave-02121/home/145336086,MLS PIN,72310091,N,Y,42.3131595,-71.0784455
MLS Listing,,Condo/Co-op,3 Avery St #803,Boston,MA,02111,689900,1,1.5,Midtown,965,965,2000,110,715,1638,Active,,,http://www.redfin.com/MA/Boston/3-Avery-St-02111/unit-803/home/11838717,MLS PIN,72309840,N,Y,42.353596,-71.0628695
MLS Listing,,Condo/Co-op,80 Broad St Ph 1102,Boston,MA,02110,1799000,2,2.5,Waterfront,1664,,2006,111,1081,1995,Active,,,http://www.redfin.com/MA/Boston/80-Broad-St-02110/unit-1102/home/12440186,MLS PIN,72309558,N,Y,42.35771,-71.0528312
MLS Listing,,Condo/Co-op,3 Winter Pl Ph 4,Boston,MA,02108,3299000,3,2.5,Midtown,3323,,1832,111,993,942,Active,,,http://www.redfin.com/MA/Boston/3-Winter-Pl-02108/unit-4/home/145121611,MLS PIN,72309556,N,Y,42.3554982,-71.0615841
MLS Listing,,Condo/Co-op,142 Chestnut St #9,Boston,MA,02108,3950000,3,3.5,Beacon Hill,3480,3230,1930,111,1135,1513,Active,,,http://www.redfin.com/MA/Boston/142-Chestnut-St-02108/unit-9/home/9254714,MLS PIN,72309516,N,Y,42.3562337,-71.0726655
